iter	Passed	Remaining
258	621	1777
259	622	1772
260	624	1767
261	626	1764
262	629	1763
263	630	1758
264	632	1754
265	633	1749
266	635	1744
267	637	1740
268	638	1735
269	640	1732
270	643	1731
271	645	1728
272	647	1723
273	648	1718
274	650	1713
275	651	1709
276	653	1704
277	654	1700
278	658	1702
279	660	1698
280	662	1693
281	663	1689
282	664	1684
283	666	1680
284	668	1676
285	670	1672
286	673	1674
287	675	1670
288	677	1665
289	678	1661
290	679	1656
291	681	1652
292	683	1648
293	685	1645
294	687	1644
295	689	1640
296	691	1637
297	693	1633
298	694	1628
299	696	1624
300	697	1619
301	700	1618
302	702	1616
303	704	1612
304	705	1608
305	707	1604
306	709	1601
307	711	1597
308	712	1593
309	714	1590
310	716	1587
311	718	1583
312	719	1579
313	720	1574
314	722	1571
315	724	1567
316	725	1563
317	727	1559
318	728	1556
319	730	1552
320	732	1548
321	734	1546
322	736	1542
323	737	1539
324	739	1535
325	740	1531
326	742	1527
327	748	1534
328	764	1559
329	766	1555
330	767	1551
331	769	1547
332	770	1543
333	772	1539
334	773	1535
335	774	1531
336	776	1526
337	777	1522
338	778	1517
339	779	1513
340	780	1508
341	781	1504
342	782	1499
343	783	1494
344	784	1489
345	785	1485
346	786	1480
347	788	1477
348	789	1472
349	790	1468
350	791	1463
351	792	1458
352	793	1455
353	794	1450
354	795	1445
355	796	1441
356	797	1437
357	798	1432
358	799	1428
359	800	1423
360	801	1419
361	803	1415
362	804	1411
363	805	1406
364	806	1402
365	807	1398
366	808	1394
367	809	1390
368	810	1386
369	811	1382
370	812	1377
371	813	1373
372	814	1369
373	815	1365
374	817	1361
375	818	1357
376	819	1354
377	820	1349
378	821	1346
379	822	1342
380	823	1338
381	824	1334
382	825	1330
383	826	1326
384	827	1322
385	828	1318
386	829	1314
387	830	1310
388	831	1306
389	833	1303
390	834	1299
391	835	1295
392	836	1291
393	837	1287
394	838	1284
395	839	1280
396	840	1276
397	841	1272
398	842	1269
399	843	1265
400	844	1261
401	845	1257
402	846	1254
403	847	1250
404	848	1247
405	851	1245
406	852	1241
407	853	1238
408	854	1235
409	856	1231
410	857	1228
411	858	1224
412	859	1221
413	860	1217
414	861	1214
415	862	1210
416	864	1208
417	865	1204
418	866	1201
419	867	1198
420	868	1194
421	869	1191
422	871	1188
423	872	1184
424	873	1181
425	874	1178
426	875	1174
427	876	1171
428	878	1169
429	879	1166
430	881	1163
431	882	1160
432	883	1156
433	884	1153
434	885	1150
435	887	1147
436	888	1144
437	889	1141
438	891	1138
439	892	1135
440	893	1132
441	894	1129
442	895	1126
443	897	1123
444	898	1120
445	899	1117
446	900	1114
447	901	1111
448	903	1108
449	904	1106
450	906	1102
451	907	1100
452	908	1097
453	909	1094
454	911	1091
